			
315	0.0561972	2.43187e+06	136664.2848
315.333	0.0571315	2.43232e+06	138962.0901
315.667	0.0580791	2.43276e+06	141292.5113
316	0.0590399	2.43321e+06	143656.4751
316.333	0.0600143	2.43366e+06	146054.4013
316.667	0.0610022	2.4341e+06	148485.455
317	0.0620039	2.43455e+06	150951.5947
317.333	0.0630196	2.43499e+06	153452.0958
317.667	0.0640493	2.43544e+06	155988.2272
318	0.0650932	2.43588e+06	158559.224
318.333	0.0661516	2.43633e+06	161167.1276
318.667	0.0672245	2.43677e+06	163810.6449
319	0.0683121	2.43722e+06	166491.6164
319.333	0.0694145	2.43766e+06	169208.9501
319.667	0.070532	2.4381e+06	171964.0692
320	0.0716647	2.43855e+06	174757.9542
320.333	0.0728128	2.43899e+06	177589.6911
320.667	0.0739763	2.43943e+06	180460.0055
321	0.0751556	2.43988e+06	183370.6453
321.333	0.0763508	2.44032e+06	186320.3843
321.667	0.0775619	2.44076e+06	189309.983
322	0.0787893	2.44121e+06	192341.2271
322.333	0.080033	2.44165e+06	195412.5745
322.667	0.0812933	2.44209e+06	198525.555
323	0.0825704	2.44253e+06	201680.6791
323.333	0.0838643	2.44298e+06	204878.8076
323.667	0.0851753	2.44342e+06	208119.0315
324	0.0865036	2.44386e+06	211402.6879
324.333	0.0878493	2.4443e+06	214730.044
324.667	0.0892126	2.44474e+06	218101.6117
325	0.0905937	2.44518e+06	221517.9034
325.333	0.0919928	2.44562e+06	224979.4315
325.667	0.0934101	2.44606e+06	228486.7092
326	0.0948458	2.44651e+06	232041.1982
326.333	0.0963	2.44695e+06	235641.285
326.667	0.0977729	2.44739e+06	239288.4177
327	0.0992648	2.44783e+06	242983.3554
327.333	0.100776	2.44826e+06	246725.8498
327.667	0.102306	2.4487e+06	250516.7022
328	0.103856	2.44914e+06	254357.8838
328.333	0.105425	2.44958e+06	258246.9715
328.667	0.107015	2.45002e+06	262188.8903
329	0.108624	2.45046e+06	266178.767
329.333	0.110254	2.4509e+06	270221.5286
329.667	0.111904	2.45134e+06	274314.7514
330	0.113576	2.45177e+06	278462.2295
330.333	0.115267	2.45221e+06	282658.8901
330.667	0.116981	2.45265e+06	286913.4497
331	0.118715	2.45309e+06	291218.5794
331.333	0.120471	2.45352e+06	295578.0079
331.667	0.122249	2.45396e+06	299994.156
332	0.124048	2.4544e+06	304463.4112
332.333	0.12587	2.45483e+06	308989.4521
332.667	0.127714	2.45527e+06	313572.3528
333	0.129581	2.4557e+06	318212.0617
333.333	0.131471	2.45614e+06	322911.1819
333.667	0.133383	2.45658e+06	327666.0101
334	0.135319	2.45701e+06	332480.1362
334.333	0.137279	2.45745e+06	337356.2786
334.667	0.139262	2.45788e+06	342289.2846
335	0.141269	2.45832e+06	347284.4081
