#T, rho, e
9.74848 2.59861e+06 484
9.93959 2.59895e+06 485
10.1338 2.59928e+06 486
10.3311 2.59959e+06 487
10.5315 2.59989e+06 488
10.7351 2.60018e+06 489
10.942 2.60046e+06 490
11.1521 2.60072e+06 491
11.3656 2.60098e+06 492
11.5824 2.60122e+06 493
11.8027 2.60144e+06 494
12.0264 2.60166e+06 495
12.2536 2.60186e+06 496
12.4844 2.60204e+06 497
12.7188 2.60222e+06 498
12.9569 2.60238e+06 499
13.1986 2.60253e+06 500
13.4441 2.60266e+06 501
13.6935 2.60278e+06 502
13.9467 2.60288e+06 503
14.2038 2.60298e+06 504
14.4649 2.60305e+06 505
14.73 2.60312e+06 506
14.9992 2.60316e+06 507
15.2726 2.6032e+06 508
15.5502 2.60322e+06 509
15.832 2.60322e+06 510
16.1182 2.60321e+06 511
16.4087 2.60318e+06 512
16.7037 2.60314e+06 513
17.0033 2.60308e+06 514
17.3074 2.60301e+06 515
17.6162 2.60292e+06 516
17.9297 2.60281e+06 517
18.248 2.60269e+06 518
18.5712 2.60255e+06 519
18.8993 2.6024e+06 520
19.2324 2.60223e+06 521
19.5706 2.60204e+06 522
19.914 2.60183e+06 523
20.2626 2.60161e+06 524
20.6165 2.60137e+06 525
20.9759 2.60111e+06 526
21.3407 2.60083e+06 527
21.7111 2.60054e+06 528
22.0872 2.60023e+06 529
22.4691 2.59989e+06 530
22.8568 2.59954e+06 531
23.2504 2.59917e+06 532
23.6501 2.59878e+06 533
24.0559 2.59837e+06 534
24.468 2.59795e+06 535
24.8864 2.5975e+06 536
25.3112 2.59703e+06 537
25.7426 2.59654e+06 538
26.1806 2.59603e+06 539
26.6255 2.5955e+06 540
27.0772 2.59494e+06 541
27.5359 2.59437e+06 542
28.0018 2.59377e+06 543
28.4749 2.59315e+06 544
28.9554 2.59251e+06 545
29.4434 2.59184e+06 546
29.9391 2.59116e+06 547
30.4425 2.59044e+06 548
30.9539 2.58971e+06 549
31.4734 2.58895e+06 550
32.0011 2.58816e+06 551
32.5371 2.58736e+06 552
33.0818 2.58652e+06 553
33.6351 2.58566e+06 554
34.1972 2.58477e+06 555
34.7684 2.58386e+06 556
35.3488 2.58292e+06 557
35.9387 2.58195e+06 558
36.5381 2.58096e+06 559
37.1472 2.57993e+06 560
37.7664 2.57888e+06 561
38.3957 2.5778e+06 562
39.0354 2.57669e+06 563
39.6858 2.57555e+06 564
40.3469 2.57438e+06 565
41.0192 2.57317e+06 566
41.7027 2.57194e+06 567
42.3978 2.57067e+06 568
43.1047 2.56937e+06 569
43.8237 2.56804e+06 570
44.555 2.56667e+06 571
45.299 2.56527e+06 572
46.0559 2.56383e+06 573
46.8261 2.56235e+06 574
47.6097 2.56084e+06 575
48.4073 2.55929e+06 576
49.2191 2.5577e+06 577
50.0454 2.55608e+06 578
50.8867 2.55441e+06 579
51.7432 2.5527e+06 580
52.6155 2.55095e+06 581
53.5039 2.54916e+06 582
54.4089 2.54733e+06 583
55.3308 2.54545e+06 584
56.2702 2.54352e+06 585
57.2275 2.54155e+06 586
58.2033 2.53953e+06 587
59.1981 2.53746e+06 588
60.2123 2.53534e+06 589
61.2467 2.53317e+06 590
62.3018 2.53095e+06 591
63.3782 2.52867e+06 592
64.4765 2.52634e+06 593
65.5976 2.52395e+06 594
66.7421 2.5215e+06 595
67.9108 2.519e+06 596
69.1045 2.51643e+06 597
70.324 2.5138e+06 598
71.5702 2.5111e+06 599
72.8441 2.50833e+06 600
74.1467 2.5055e+06 601
75.4791 2.50259e+06 602
76.8423 2.49961e+06 603
78.2375 2.49655e+06 604
79.666 2.49342e+06 605
81.1292 2.4902e+06 606
82.6284 2.4869e+06 607
84.1652 2.48351e+06 608
85.7412 2.48002e+06 609
87.3581 2.47645e+06 610
89.0178 2.47277e+06 611
90.7223 2.46899e+06 612
92.4738 2.46511e+06 613
94.2746 2.46111e+06 614
96.1271 2.457e+06 615
98.0341 2.45276e+06 616
99.9986 2.4484e+06 617
102.024 2.4439e+06 618
104.113 2.43926e+06 619
106.27 2.43447e+06 620
108.5 2.42952e+06 621
110.806 2.42441e+06 622
113.195 2.41912e+06 623
115.671 2.41364e+06 624
118.241 2.40796e+06 625
120.913 2.40206e+06 626
123.695 2.39593e+06 627
126.594 2.38955e+06 628
129.624 2.38291e+06 629
132.794 2.37597e+06 630
136.119 2.3687e+06 631
139.617 2.36109e+06 632
143.304 2.35309e+06 633
147.206 2.34465e+06 634
151.35 2.33572e+06 635
155.769 2.32624e+06 636
160.507 2.31613e+06 637
165.617 2.30528e+06 638
171.171 2.29355e+06 639
177.264 2.28078e+06 640
184.029 2.2667e+06 641
191.66 2.25097e+06 642
200.465 2.23301e+06 643
210.969 2.21187e+06 644

