-0.250 0.0574735 
-0.240 0.0560981 
-0.230 0.0546540 
-0.220 0.0531394 
-0.210 0.0515528 
-0.200 0.0498937 
-0.190 0.0481625 
-0.180 0.0463607 
-0.170 0.0444915 
-0.160 0.0425603 
-0.150 0.0405748 
-0.140 0.0385459 
-0.130 0.0364883 
-0.120 0.0344282
-0.110 0.0323680 
-0.100 0.0303593 
-0.090 0.0284305 
-0.080 0.0266220 
-0.070 0.0249772 
-0.060 0.0235383 
-0.050 0.0223400 
-0.040 0.0214026 
-0.030 0.0207270 
-0.020 0.0202934 
-0.010 0.0200658 
0.000 0.0200000 
0.010 0.0200521 
0.020 0.0201887 
0.030 0.0203889 
0.040 0.0206392 
0.050 0.0209303 
0.060 0.0212558 
0.070 0.0216112 
0.080 0.0219930 
0.090 0.0223987 
0.100 0.0228264 
0.110 0.0232746 
0.120 0.0237422 
0.130 0.0242283 
0.140 0.0247323 
0.150 0.0252536 
0.160 0.0257919 
0.170 0.0263468 
0.180 0.0269183 
0.190 0.0275062 
0.200 0.0281104 
0.210 0.0287309 
0.220 0.0293678 
0.230 0.0300211 
0.240 0.0306909 
0.250 0.0313773 
0.260 0.0320806 
0.270 0.0328008 
0.280 0.0335383 
0.290 0.0342931 
0.300 0.0350655 
0.310 0.0358559 
0.320 0.0366643 
0.330 0.0374912 
0.340 0.0383368 
0.350 0.0392015 
0.360 0.0400854 
0.370 0.0409890 
0.380 0.0419126 
0.390 0.0428566 
0.400 0.0438212 
0.410 0.0448070 
0.420 0.0458142 
0.430 0.0468432 
0.440 0.0478946 
0.450 0.0489685 
0.460 0.0500656 
0.470 0.0511862 
0.480 0.0523308 
0.490 0.0534998 
0.500 0.0546937 
